NOMBREADJUDICADO,total_pagado,num_contratos,pago_promedio,num_regiones,num_servicios,años_activo,CLUSTER
COMERCIALIZADORA ELENA LIMITADA,815222238,4,67935186.5,3,2,2,0
COMERCIALIZADORA FASTENER DURAPART LTDA.,954080056,3,68148575.42857143,2,1,3,0
COMERCIALVIVIANA ANDREA SOTO RUIZ E.I.R.L.,7306600,2,3653300.0,1,1,2,0
COMPANIA DE OBRAS Y SERVICIOS S. A.,933031477,3,58314467.3125,2,1,1,0
COMPANIA DE OBRAS Y SERVICIOS S. P. A.,17038346861,39,75725986.04888889,7,8,13,3
COMPUTER PLOTT GRAFICA LTDA,969963375,3,74612567.3076923,3,2,4,0
COMSA DE CHILE S.A.,16313303667,7,286198309.94736844,4,2,5,0
CON POTENCIAL CONSULTORES SPA,21000000,3,3500000.0,1,2,2,0
CONCRET&GROUP SPA,32830648,1,32830648.0,1,1,1,0
CONIC-BF INGENIEROS CIVILES CONSULTORES LTDA.,1878707232,6,60603459.09677419,5,3,11,3
CONIX INGENIERIA Y CONSTRUCCION SPA,72995738317,56,230270467.8769716,8,5,6,3
CONS CON ADM.PAV.APSA LTDA DUSAN DUJISIN CIA LTDA,1001922021,1,111324669.0,1,1,2,0
CONS. EN MEDIO AMBIENTE Y ARQ. RENATO R. SEPULVEDA,181594000,1,60531333.333333336,1,2,2,0
CONSORC.FCC CONSTR.S.A-FCC CONST.S.A.AGEN EN CHILE,10647977143,1,507046530.61904764,1,1,5,0
CONSORC.LAS TRANCAS-PARQUE INGLES TRICAM-COP LTDA.,12860274986,1,476306480.962963,1,1,6,0
CONSORC.STRADALE-GAUSS ING.DE PROYE.Y ASES.LTDA.,966236579,1,87839689.0,1,1,4,0
CONSORCIO APSA - DDQ EVALUACION SOCIAL LIMITADA,76930180,1,15386036.0,1,1,2,0
CONSORCIO APSA - DDQ MAGALLANES LIMITADA,105605760,1,26401440.0,1,1,1,0
CONSORCIO APSA-ASISTECSA ANALISIS ESTRUCTURAL LTDA,200244112,1,25030514.0,1,1,3,0
CONSORCIO APSA-DDQ CP SIST ALTO RENDIMIENTO II LTD,238426519,1,34060931.28571428,1,1,2,0
CONSORCIO APSA-DDQ CP SISTEMA ALTO RENDIMIENTO III,221037505,1,27629688.125,1,1,2,0
CONSORCIO APSA-DDQ ESTUD.BAS.ACTUAL.COND.ESTRUCTUR,396452950,1,132150983.33333333,1,2,2,0
CONSORCIO APSA-DDQ-TYPSA SPA,1231573121,1,136841457.8888889,1,2,3,0
CONSORCIO ASFALCURA-MASERCO RUTA E TREINTA F LTDA.,4936953927,1,548550436.3333334,1,2,2,0
CONSORCIO ASISTECSA MACRO LIMITADA,229438000,1,38239666.666666664,1,1,3,0
